0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
-565.67053,100.21499,34.53414,2.40523,20.171755,17.097807,1.6545849,11.056368,7.4656167,9.999765,5.138156,6.7428174,3.681077,8.693542,5.3911824,0.32302004,-2.1530836,4.8396144,-1.1186092,-2.312208,0.7561454,-0.82546395,0.6796433,1.8371557,-1.3037903,-1.0859321,-0.20581073,0.43427336,-3.8277917,-2.2447877,-0.11645809,1.55749,0.88268125,2.5154102,2.436098,3.470652,0.5061141,0.80039275,-0.2670027,0.13804285
-595.30804,104.21045,33.741516,3.5892208,19.440197,10.583073,5.037767,14.771006,9.599874,12.4230995,4.0559816,9.530807,0.69221866,9.891958,4.455463,0.90888745,-1.5320638,2.943693,1.1297334,-3.4712467,0.26931593,-0.16551763,1.820706,1.0763048,-1.2524937,-0.7511871,0.42863673,0.6606024,-3.047356,-1.7946668,0.45585644,1.7617786,-0.2182186,3.4938838,1.8537817,3.3663683,-0.112502985,-0.7873643,-1.1213119,-0.2912817
-587.3526,107.86744,29.56894,3.8224177,17.798567,10.70826,2.3783882,13.251493,9.613744,13.006596,7.227011,9.725484,1.4625895,8.583887,1.6306932,1.1138743,-2.7210777,4.8125925,-0.46194857,-1.2200025,0.4197324,-0.17481402,-0.14815138,0.53968203,-1.3733839,-2.1086934,-0.89843273,0.027826762,-3.5657065,-1.4347996,-0.023627926,1.221198,0.5802434,2.8188803,1.4826247,3.0767715,0.18377417,0.5242345,-0.20541066,-1.1674007
-588.3868,107.1108,32.088165,4.742012,19.017878,10.423221,3.003744,12.836345,9.495445,13.284194,5.4668183,10.693191,0.9139075,8.6223545,2.8486793,0.57270426,-3.0945268,5.137194,0.07460137,-1.2586058,-0.036745906,-0.77894515,0.16255458,0.15828897,-1.0959965,-2.031045,-0.09589897,0.035192605,-3.969587,-1.5772052,0.08276982,1.2863195,-0.20792095,3.1804674,1.0104293,3.3078861,-0.33006823,0.41542572,-0.0694247,-1.178493
-607.96533,116.16357,32.248318,3.0727384,21.21883,12.445807,7.036444,14.704202,10.546207,14.374955,5.952742,10.541793,2.5278919,10.315941,3.9477935,1.0164655,0.10955943,5.3218913,1.2422832,-1.3608351,0.23421201,0.80331945,1.3867133,0.92565405,-0.34110492,-0.13766585,0.94304365,0.67092395,-3.826618,-1.491632,0.579828,1.6168046,0.9768729,3.677561,1.588961,4.452338,0.5789496,0.9367817,0.32991418,-0.4386392
-594.7299,101.45899,33.746254,5.8050804,17.581173,10.297828,3.7404127,12.983205,10.507819,13.2912855,6.787256,9.278126,1.300121,10.716982,3.3116486,0.9801036,-0.626774,5.197398,-0.008886365,-2.9502978,-0.008509661,0.95231676,1.36183,1.0600326,0.48714906,0.92929184,0.37728873,0.55459505,-2.972185,-1.3857352,1.3438672,1.3687831,-0.3847893,3.8220859,2.0413694,2.6282535,-0.37405068,-0.28019726,-0.2325984,-0.9706315
-592.13617,99.87602,35.324005,7.190234,18.692038,10.0994625,2.669471,11.805292,9.426506,13.400269,7.844503,9.427399,1.7215499,10.74841,3.433057,0.80165607,-0.50739235,4.8445296,0.53979486,-3.0264025,0.96343136,0.2542071,0.7172055,-1.2858027,0.021904944,-0.17981607,0.7442594,0.40329492,-2.8050973,-1.4622562,0.9411142,0.34553033,-0.14158173,3.8450327,0.67036,3.7586453,-0.15610844,-0.044408076,0.693691,-0.6523956
-592.257,104.08033,31.09988,6.7146316,17.65764,9.711365,2.5208213,12.181371,9.4154625,13.110472,8.333983,8.745614,2.2015882,10.406915,3.2959983,1.3966619,-1.0140618,5.9991145,0.5045911,-2.1940687,-0.100536756,0.630927,0.019135848,0.3313005,-0.12755635,0.6091546,0.17752314,0.2708168,-3.668196,-1.4360652,1.437804,0.5948945,0.05392111,3.5761461,1.2767178,2.113933,-0.0597982,0.34210217,0.5059238,0.2716791
-586.45605,102.1079,34.014027,6.5941377,18.356344,9.980338,0.06259253,12.178183,9.65403,13.742366,8.248525,9.185613,3.1105466,9.711449,3.830345,1.7362303,-0.20592174,6.092455,0.67388684,-2.1786027,0.6658163,0.5079096,1.3303903,0.14684384,-0.0040806592,0.8240314,0.18780206,-0.0010855577,-2.5756218,-1.6317523,0.5807301,1.6191148,0.091352426,3.6603389,2.46183,2.1959727,0.6453345,0.6942809,0.47736493,-0.41852257
-572.8005,92.930504,35.287388,11.2044935,15.01676,11.83399,1.7090615,9.626236,9.7179365,12.80338,9.714125,7.666564,4.4797125,8.253976,2.7440448,0.996316,-0.7615813,5.7258368,0.27634194,-2.1133513,0.5444155,0.8584407,1.0512619,-0.17997153,-0.39372966,0.0020583002,-0.73191106,0.18987101,-1.6954097,-1.6033994,1.4299009,1.1797507,0.34909785,2.6327593,1.118243,2.13132,0.7015087,-0.33927736,0.20279999,-1.1353884
