0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,speaker
-534.0823,112.78551,19.597097,-1.6934435,21.320051,13.683793,1.5849591,10.331054,7.4742613,10.2745905,3.0735238,9.941869,-0.1606866,5.105735,0.066880465,2.9461832,-1.4663801,3.8422978,0.0044641467,1.7381313,-0.1334521,-0.3817584,0.85797685,3.1760998,0.01821341,-0.4561763,-1.1619635,0.50678647,-1.7990296,0.36526874,-0.27585468,3.546367,2.444401,3.100917,1.4442278,3.489711,1.4448179,2.9487536,-1.3967619,0.744247,
-538.7568,115.41864,20.203142,-3.9608023,17.938744,8.610726,0.9272282,9.300483,6.6588783,11.869343,1.96795,9.153309,0.9284277,5.100016,-2.2644005,3.2880888,-3.8689075,3.7826734,-0.078849,0.24187277,-0.6644288,1.0210421,-0.48109174,2.5275497,0.022090614,0.41755,-0.7819738,-0.5822295,-1.7329905,0.5175235,-0.26854113,2.7040114,1.5828781,3.617377,0.6333062,3.1745613,1.306765,1.3308724,-1.4821411,0.77338636,
-538.0356,115.98686,18.983028,-1.9537247,18.439785,8.442471,1.1168983,10.97877,5.938311,10.214247,2.0803714,8.998062,1.0536948,5.307864,-1.602889,2.6174529,-3.0361364,3.7753754,-0.5354424,-0.15155144,-0.22532853,0.30465215,0.04844044,2.9550934,0.40380538,-0.4889372,-0.9623742,-0.78387994,-2.2632997,0.39793426,-0.36799625,2.7910657,1.6540889,2.9084306,0.3984461,2.9055293,1.5263814,2.1219766,-0.5503618,0.86293006,
-536.70306,115.90095,17.512222,-2.1936903,17.572548,8.474165,-0.09956037,10.2603445,6.624129,11.189654,2.049779,8.837657,1.1179696,5.581213,-2.1810324,3.0518491,-3.0105739,4.4932084,0.32591888,-0.10911396,-0.48007566,0.9928627,-0.56788397,2.761049,-0.053111468,-0.13878788,-1.4337541,-1.2193313,-2.8110569,0.05541041,-0.650462,2.7528853,1.5955199,4.0054054,0.84378624,3.2144036,1.6709583,1.1883663,-1.0585128,1.1519271,
-533.84955,117.23206,18.217949,-3.6814573,18.127228,9.228414,0.42366484,11.046566,7.420432,10.002266,2.552363,9.760245,1.1432368,5.59689,-0.8660586,3.1127753,-2.0396135,4.6274147,0.511,0.85617125,0.4655836,0.9661478,-0.111647986,2.6534138,0.5297018,-0.5095226,-0.73105264,-1.1441247,-2.0962148,0.3538521,-0.6198932,2.824667,1.7356732,3.964124,0.73019165,2.6375463,1.2305605,1.4799814,-0.73464286,0.7808686,
-529.03046,110.24413,20.754425,-2.0000656,18.337395,8.7009945,0.27427608,9.955584,8.292455,10.023358,3.2661178,9.533118,0.41406125,5.805434,-1.1230505,2.2559042,-1.1043155,5.3102374,1.5906179,0.18468425,-0.4262448,1.3574104,0.21758708,2.2994015,0.1169193,-0.35204455,-0.119292095,-0.99864393,-1.5454645,0.08749246,0.54563755,3.1130683,1.3040903,2.7827115,1.5270317,1.9643638,0.4017026,1.4920493,-0.9228137,0.748522,
-527.0938,111.86669,21.345129,0.8219036,19.384192,8.696642,-1.6270763,11.709814,6.256143,11.207108,3.2938175,9.649426,0.7147495,8.038291,-0.764126,3.066005,-1.7310963,5.267463,0.43026203,0.48845905,0.061255414,1.2199246,0.95974934,3.1783211,0.04383786,0.77931845,-0.93400276,0.2902294,-1.9902266,0.55746263,0.6056927,3.3508294,2.5508268,2.8175642,1.7030613,2.9047303,0.14020284,2.0454378,-1.1846262,1.3903937,
-532.9815,113.09453,19.621908,-0.738217,18.916424,9.265625,-1.7282145,11.425174,6.480646,11.270016,3.3691306,10.2547245,0.4095584,6.986239,-1.0963935,3.321672,-1.393988,5.5512667,1.651658,0.9458686,-0.71427864,1.0297722,0.42336896,2.788111,-0.81406426,0.4943708,-0.3971678,0.507457,-1.9758329,0.25429985,0.25198424,3.7251103,1.2952203,2.6139684,1.7220558,3.156587,0.23446518,1.8664993,-0.7364284,1.083045,
-529.31085,110.700134,19.64911,-2.3371658,19.386768,8.6347885,-2.1450417,12.1216,5.0341797,11.205655,3.7916071,9.434627,1.3281974,7.366704,-2.3464472,2.2190845,-2.2744102,5.50839,0.14122392,0.35308015,-0.8131466,1.2451283,-0.19573687,1.945071,-0.23853955,2.0484376,-0.6940918,0.10107948,-1.3196468,0.23387225,-0.08355882,2.46522,0.3620485,2.7383096,2.1968102,2.7697225,1.0586843,1.7596743,-1.1671854,0.7110003,
-528.90985,109.35007,21.205967,-2.2633219,17.977621,8.343148,-2.1584542,10.897107,5.547343,11.107898,3.15305,9.675152,0.43903878,6.432636,-1.997091,2.2968295,-1.5421381,5.0712585,0.8621659,0.4757259,-1.2317684,1.3220165,-0.6773325,2.8524644,-0.14773281,0.7921762,-1.3062708,-0.8012657,-2.2790496,-0.42069042,-0.04803584,3.7835336,1.678124,3.6963444,1.7138858,1.8113762,0.1975551,1.2201309,-0.9223158,0.54826176,
-565.67053,100.21499,34.53414,2.40523,20.171755,17.097807,1.6545849,11.056368,7.4656167,9.999765,5.138156,6.7428174,3.681077,8.693542,5.3911824,0.32302004,-2.1530836,4.8396144,-1.1186092,-2.312208,0.7561454,-0.82546395,0.6796433,1.8371557,-1.3037903,-1.0859321,-0.20581073,0.43427336,-3.8277917,-2.2447877,-0.11645809,1.55749,0.88268125,2.5154102,2.436098,3.470652,0.5061141,0.80039275,-0.2670027,0.13804285,Ayush
-595.30804,104.21045,33.741516,3.5892208,19.440197,10.583073,5.037767,14.771006,9.599874,12.4230995,4.0559816,9.530807,0.69221866,9.891958,4.455463,0.90888745,-1.5320638,2.943693,1.1297334,-3.4712467,0.26931593,-0.16551763,1.820706,1.0763048,-1.2524937,-0.7511871,0.42863673,0.6606024,-3.047356,-1.7946668,0.45585644,1.7617786,-0.2182186,3.4938838,1.8537817,3.3663683,-0.112502985,-0.7873643,-1.1213119,-0.2912817,Ayush
-587.3526,107.86744,29.56894,3.8224177,17.798567,10.70826,2.3783882,13.251493,9.613744,13.006596,7.227011,9.725484,1.4625895,8.583887,1.6306932,1.1138743,-2.7210777,4.8125925,-0.46194857,-1.2200025,0.4197324,-0.17481402,-0.14815138,0.53968203,-1.3733839,-2.1086934,-0.89843273,0.027826762,-3.5657065,-1.4347996,-0.023627926,1.221198,0.5802434,2.8188803,1.4826247,3.0767715,0.18377417,0.5242345,-0.20541066,-1.1674007,Ayush
-588.3868,107.1108,32.088165,4.742012,19.017878,10.423221,3.003744,12.836345,9.495445,13.284194,5.4668183,10.693191,0.9139075,8.6223545,2.8486793,0.57270426,-3.0945268,5.137194,0.07460137,-1.2586058,-0.036745906,-0.77894515,0.16255458,0.15828897,-1.0959965,-2.031045,-0.09589897,0.035192605,-3.969587,-1.5772052,0.08276982,1.2863195,-0.20792095,3.1804674,1.0104293,3.3078861,-0.33006823,0.41542572,-0.0694247,-1.178493,Ayush
